Unnamed: 0,sentence,label,classification
2700,"We , the public , have choices to make about who gets to receive a quality education , who benefits from the promises of public education , who enjoys optimal freedom in America and who does not .",Conservative,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
3788,"Therefore , we can approximate the number of whites by merely subtracting the number of Asian and Hispanic names as well as an estimated black total based on the latter figure , and then determine the number of white Gentiles by also subtracting the Jewish total .",Neutral,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1577,"To encourage investment -- and to the silent rage of other European countries -- Ireland became a huge offshore tax haven , with the corporation tax cut from 32 percent to 12.5 percent and with some very rich people , if Dublin journalists are to be believed , effectively paying no taxes at all .",Liberal,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
2381,"The newly created dollars wo n't solve our economic problems , of course , since each new dollar added to the economy devalues the dollars already in circulation , causing prices to rise .",Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
2735,"Finally , I want to challenge the liberal notion that the private sector is motivated by greed , while the public sector is motivated by noble idealism .",Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
3237,"If you rely only on this government-sanctioned law to regulate your actions , and if you 're a model , law-abiding citizen , you would find yourself at a significant disadvantage , having to fend off an armed attacker with a less effective weapon , such as a knife or baseball bat .",Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1613,Tomasi preaches to the left that respect for economic liberties is a key part of respecting individual autonomy and that a properly freed market generates enough wealth to benefit the least well off .,Liberal,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1193,"While it is apparently true that since the mid-1990s the percentage of highways providing `` acceptable '' rides increased and bridges having deficient ratings decreased , in terms of miles of highway and total numbers of bridges that need serious upgrades or replacement , the numbers have gone up dramatically .",Liberal,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
48,"However , the deduction is an inefficient mechanism for helping low - and middle - income people buy homes because it is worth less to families in lower income brackets , many of whom do not even itemize their deductions .",Liberal,"ChatCompletionMessage(content='Liberal', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1662,"Looking back , the leaders might blame the fervid social environment created by the central government or the pressure they received for more and quicker results from their higher-ups in the provincial or central governments .",Liberal,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
3285,"Here you will read that Rousseau conjured all the evils of the modern world , that the influence of the Frankfurt School is destroying traditional values , that closet Nietzscheans are spreading the disease of moral relativism , and that Deweyan faith in `` planners '' is corroding our liberties .",Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
635,We need so many new solutions and our problems and challenges are so diverse and so difficult that every citizen should feel empowered to challenge the old order and to help develop new solutions .,Liberal,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
2350,"The judiciary and the bureaucracies are staffed with intellectuals , as that term is used in this book , and thus tend to share the views and accept the agendas of modern liberalism .",Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1357,"Meanwhile , growing income and wealth inequality motivated corporations and the rich to use their enhanced resources to shape politics so that government would protect their new financial gains from the envy , resentment , and demands of the 99 percent .",Liberal,"ChatCompletionMessage(content='Liberal', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
2589,The idea that government can benevolently pick the right winners and punish the bad actors is utterly contrary to our sense of justice and common sense .,Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
107,"Studies have shown that if the United States were to make a meaningful investment in clean energy and efficiency , 40 million new jobs could be created by 2030 , making one in five jobs in the country some shade of green .",Liberal,"ChatCompletionMessage(content='Liberal', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
3901,"She stated , under oath , that Letterman seriously abused her by causing her bankruptcy , mental cruelty , and sleep deprivation since 1994 .",Neutral,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1086,Rather he contends that the root of this problem rests with the government officials and health experts who have convinced the public to eat the very foods that create an insulin imbalance that ultimately leads to obesity and diabetes .,Liberal,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1071,Authors Gannon and Lawson argue that it is not sufficient to merely tax the industry for the harms it creates ; the industry should also be made to express its penance by devoting a significant percent of its productive hours and efforts to persuading the public to believe the opposite of what the advertising intends .,Liberal,"ChatCompletionMessage(content='Liberal', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
3519,"Take , for example , the depression of 1920 , one of which most Americans are unaware , since it was short-lived and solved without government intervention as the government allowed the free market to work itself out .",Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
3081,"Since most conservatives care more about spending , the supply-siders carefully emphasize this result , but the argument is merely instrumental .",Conservative,"ChatCompletionMessage(content='Conservative', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
1476,What motivates some of these people is greed and greed and more greed .,Liberal,"ChatCompletionMessage(content='Neutral', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=None)"
